Regione,Ordine,Anno di corso,Classi,Alunni,Media
BASILICATA,AA,1,4,74,18
BASILICATA,EE,1,3,44,14
BASILICATA,EE,2,3,45,15
BASILICATA,EE,3,3,42,14
BASILICATA,EE,4,3,45,15
BASILICATA,EE,5,4,65,16
BASILICATA,MM,1,3,40,13
BASILICATA,MM,2,3,42,14
BASILICATA,MM,3,3,50,16
CALABRIA,AA,1,17,340,20
CALABRIA,AA,2,9,150,16
CALABRIA,AA,3,5,97,19
CALABRIA,AA,4,1,16,16
CALABRIA,EE,1,19,238,12
CALABRIA,EE,2,19,236,12
CALABRIA,EE,3,15,199,13
CALABRIA,EE,4,14,174,12
CALABRIA,EE,5,19,310,16
CALABRIA,MM,1,17,251,14
CALABRIA,MM,2,17,248,14
CALABRIA,MM,3,16,224,14
CALABRIA,SS,1,22,443,20
CALABRIA,SS,2,21,358,17
CALABRIA,SS,3,23,395,17
CALABRIA,SS,4,24,376,15
CALABRIA,SS,5,22,325,14
CAMPANIA,AA,1,15,309,20
CAMPANIA,AA,2,1,15,15
CAMPANIA,AA,3,1,20,20
CAMPANIA,AA,4,1,16,16
CAMPANIA,EE,1,15,232,15
CAMPANIA,EE,2,12,187,15
CAMPANIA,EE,3,11,151,13
CAMPANIA,EE,4,14,222,15
CAMPANIA,EE,5,13,205,15
CAMPANIA,MM,1,10,174,17
CAMPANIA,MM,2,13,246,18
CAMPANIA,MM,3,12,204,17
CAMPANIA,SS,1,9,203,22
CAMPANIA,SS,2,9,164,18
CAMPANIA,SS,3,13,279,21
CAMPANIA,SS,4,9,161,17
CAMPANIA,SS,5,14,256,18
ESTERO,AA,1,1,25,25
ESTERO,AA,2,1,24,24
ESTERO,AA,3,1,25,25
ESTERO,AA,4,1,25,25
ESTERO,AA,5,1,27,27
ESTERO,AA,6,1,25,25
ESTERO,AA,7,1,25,25
ESTERO,AA,8,1,24,24
ESTERO,EE,1,3,62,20
ESTERO,EE,2,4,83,20
ESTERO,EE,3,3,63,21
ESTERO,EE,4,3,69,23
ESTERO,EE,5,2,45,22
ESTERO,MM,1,3,65,21
ESTERO,MM,2,2,45,22
ESTERO,MM,3,3,63,21
FRIULI VENEZIA GIULIA,AA,1,6,134,22
FRIULI VENEZIA GIULIA,AA,2,3,71,23
FRIULI VENEZIA GIULIA,AA,3,2,43,21
FRIULI VENEZIA GIULIA,AA,4,1,21,21
FRIULI VENEZIA GIULIA,AA,5,1,23,23
FRIULI VENEZIA GIULIA,EE,1,9,152,16
FRIULI VENEZIA GIULIA,EE,2,9,168,18
FRIULI VENEZIA GIULIA,EE,3,9,170,18
FRIULI VENEZIA GIULIA,EE,4,11,222,20
FRIULI VENEZIA GIULIA,EE,5,8,158,19
FRIULI VENEZIA GIULIA,MM,1,8,151,18
FRIULI VENEZIA GIULIA,MM,2,5,105,21
FRIULI VENEZIA GIULIA,MM,3,10,181,18
LAZIO,AA,1,25,540,21
LAZIO,AA,2,7,151,21
LAZIO,AA,3,4,72,18
LAZIO,EE,1,18,324,18
LAZIO,EE,2,19,330,17
LAZIO,EE,3,18,315,17
LAZIO,EE,4,18,304,16
LAZIO,EE,5,17,294,17
LAZIO,MM,1,17,321,18
LAZIO,MM,2,14,303,21
LAZIO,MM,3,15,297,19
LAZIO,SS,1,25,512,20
LAZIO,SS,2,24,467,19
LAZIO,SS,3,24,528,22
LAZIO,SS,4,22,377,17
LAZIO,SS,5,24,417,17
LIGURIA,AA,1,13,328,25
LIGURIA,AA,2,1,14,14
LIGURIA,AA,3,1,14,14
LIGURIA,AA,4,1,13,13
LIGURIA,AA,5,1,13,13
LIGURIA,AA,6,1,16,16
LIGURIA,EE,1,16,293,18
LIGURIA,EE,2,14,185,13
LIGURIA,EE,3,17,219,12
LIGURIA,EE,4,18,271,15
LIGURIA,EE,5,16,219,13
LIGURIA,MM,1,13,391,30
LIGURIA,MM,2,9,171,19
LIGURIA,MM,3,12,231,19
LOMBARDIA,AA,1,21,394,18
LOMBARDIA,AA,2,5,115,23
LOMBARDIA,AA,3,3,70,23
LOMBARDIA,EE,1,20,354,17
LOMBARDIA,EE,2,19,349,18
LOMBARDIA,EE,3,19,331,17
LOMBARDIA,EE,4,19,317,16
LOMBARDIA,EE,5,17,292,17
LOMBARDIA,MM,1,18,349,19
LOMBARDIA,MM,2,15,306,20
LOMBARDIA,MM,3,17,328,19
LOMBARDIA,SS,1,27,559,20
LOMBARDIA,SS,2,22,411,18
LOMBARDIA,SS,3,26,441,16
LOMBARDIA,SS,4,27,424,15
LOMBARDIA,SS,5,25,428,17
MARCHE,AA,1,18,380,21
MARCHE,AA,2,4,96,24
MARCHE,AA,3,5,118,23
MARCHE,AA,4,1,30,30
MARCHE,AA,5,1,21,21
MARCHE,EE,1,16,251,15
MARCHE,EE,2,17,297,17
MARCHE,EE,3,14,261,18
MARCHE,EE,4,13,255,19
MARCHE,EE,5,17,327,19
MARCHE,MM,1,11,208,18
MARCHE,MM,2,12,270,22
MARCHE,MM,3,13,286,22
MARCHE,SS,1,18,418,23
MARCHE,SS,2,17,357,21
MARCHE,SS,3,21,386,18
MARCHE,SS,4,21,373,17
MARCHE,SS,5,20,327,16
MOLISE,SS,1,5,104,20
MOLISE,SS,2,6,109,18
MOLISE,SS,3,10,157,15
MOLISE,SS,4,9,133,14
MOLISE,SS,5,7,106,15
PIEMONTE,AA,1,17,372,21
PIEMONTE,AA,2,4,84,21
PIEMONTE,AA,3,3,60,20
PIEMONTE,EE,1,13,205,15
PIEMONTE,EE,2,13,195,15
PIEMONTE,EE,3,13,214,16
PIEMONTE,EE,4,13,217,16
PIEMONTE,EE,5,11,190,17
PIEMONTE,MM,1,10,205,20
PIEMONTE,MM,2,10,203,20
PIEMONTE,MM,3,9,169,18
PIEMONTE,SS,1,7,190,27
PIEMONTE,SS,2,7,167,23
PIEMONTE,SS,3,10,207,20
PIEMONTE,SS,4,10,234,23
PIEMONTE,SS,5,8,130,16
PUGLIA,AA,1,21,457,21
PUGLIA,AA,2,8,177,22
PUGLIA,AA,3,5,118,23
PUGLIA,EE,1,17,298,17
PUGLIA,EE,2,15,252,16
PUGLIA,EE,3,12,199,16
PUGLIA,EE,4,16,291,18
PUGLIA,EE,5,16,288,18
PUGLIA,MM,1,15,377,25
PUGLIA,MM,2,13,250,19
PUGLIA,MM,3,19,374,19
PUGLIA,SS,1,16,308,19
PUGLIA,SS,2,18,316,17
PUGLIA,SS,3,24,461,19
PUGLIA,SS,4,23,400,17
PUGLIA,SS,5,21,314,14
SARDEGNA,AA,1,11,176,16
SARDEGNA,EE,1,12,144,12
SARDEGNA,EE,2,13,162,12
SARDEGNA,EE,3,11,132,12
SARDEGNA,EE,4,13,148,11
SARDEGNA,EE,5,10,149,14
SARDEGNA,MM,1,5,50,10
SARDEGNA,MM,2,5,66,13
SARDEGNA,MM,3,6,62,10
SARDEGNA,SS,1,14,235,16
SARDEGNA,SS,2,8,125,15
SARDEGNA,SS,3,12,212,17
SARDEGNA,SS,4,10,201,20
SARDEGNA,SS,5,9,105,11
SICILIA,AA,1,13,272,20
SICILIA,AA,2,4,67,16
SICILIA,AA,3,2,47,23
SICILIA,AA,4,1,21,21
SICILIA,AA,5,1,17,17
SICILIA,AA,6,1,20,20
SICILIA,EE,1,15,217,14
SICILIA,EE,2,19,231,12
SICILIA,EE,3,16,235,14
SICILIA,EE,4,13,211,16
SICILIA,EE,5,17,247,14
SICILIA,MM,1,17,275,16
SICILIA,MM,2,19,352,18
SICILIA,MM,3,17,309,18
SICILIA,SS,1,5,100,20
SICILIA,SS,2,4,79,19
SICILIA,SS,3,6,93,15
SICILIA,SS,4,6,119,19
SICILIA,SS,5,4,79,19
TOSCANA,AA,1,25,519,20
TOSCANA,AA,2,6,132,22
TOSCANA,AA,3,5,98,19
TOSCANA,EE,1,23,416,18
TOSCANA,EE,2,23,348,15
TOSCANA,EE,3,19,285,15
TOSCANA,EE,4,21,297,14
TOSCANA,EE,5,19,309,16
TOSCANA,MM,1,20,496,24
TOSCANA,MM,2,14,260,18
TOSCANA,MM,3,15,300,20
TOSCANA,SS,1,11,275,25
TOSCANA,SS,2,8,185,23
TOSCANA,SS,3,10,200,20
TOSCANA,SS,4,11,236,21
TOSCANA,SS,5,10,174,17
UMBRIA,AA,1,8,185,23
UMBRIA,EE,1,3,67,22
UMBRIA,EE,2,4,89,22
UMBRIA,EE,3,4,90,22
UMBRIA,EE,4,3,64,21
UMBRIA,EE,5,3,63,21
UMBRIA,SS,1,6,153,25
UMBRIA,SS,2,7,156,22
UMBRIA,SS,3,8,177,22
UMBRIA,SS,4,6,145,24
UMBRIA,SS,5,8,167,20
VENETO,AA,1,7,111,15
VENETO,AA,2,1,0,0
VENETO,AA,3,1,0,0
VENETO,EE,1,13,203,15
VENETO,EE,2,13,212,16
VENETO,EE,3,9,141,15
VENETO,EE,4,11,175,15
VENETO,EE,5,11,196,17
VENETO,MM,1,8,140,17
VENETO,MM,2,10,198,19
VENETO,MM,3,10,194,19
